new graph
add vertex 0
add vertex 1
add vertex 2
add vertex 3
add vertex 4
add vertex 5
add vertex 6
add vertex 7
add vertex 8
add vertex 9
add vertex 10
add vertex 11
add vertex 12
add vertex 13
add vertex 14
add vertex 15
add vertex 16
add vertex 17
add vertex 18
add vertex 19
add vertex 20
add vertex 21
add vertex 22
add vertex 23
add vertex 24
add vertex 25
add vertex 26
add vertex 27
add vertex 28
add vertex 29
add vertex 30
add vertex 31
add vertex 32
add vertex 33
add vertex 34
add vertex 35
add vertex 36
add vertex 37
add vertex 38
add vertex 39
add vertex 40
add vertex 41
add vertex 42
add vertex 43
add vertex 44
add vertex 45
add vertex 46
add vertex 47
add vertex 48
add vertex 49
add vertex 50
add vertex 51
add vertex 52
add vertex 53
add vertex 54
add vertex 55
add vertex 56
add vertex 57
add vertex 58
add vertex 59
add vertex 60
add vertex 61
add vertex 62
add vertex 63
add vertex 64
add vertex 65
add vertex 66
add vertex 67
add vertex 68
add vertex 69
add vertex 70
add vertex 71
add vertex 72
add vertex 73
add vertex 74
add vertex 75
add vertex 76
add vertex 77
add vertex 78
add vertex 79
add vertex 80
add vertex 81
add vertex 82
add vertex 83
add vertex 84
add vertex 85
add vertex 86
add vertex 87
add vertex 88
add vertex 89
add vertex 90
add vertex 91
add vertex 92
add vertex 93
add vertex 94
add vertex 95
add vertex 96
add vertex 97
add vertex 98
add vertex 99
add vertex 100
add vertex 101
add vertex 102
add vertex 103
add vertex 104
add vertex 105
add vertex 106
add vertex 107
add vertex 108
add vertex 109
add vertex 110
add vertex 111
add vertex 112
add vertex 113
add vertex 114
add vertex 115
add vertex 116
add vertex 117
add vertex 118
add vertex 119
add vertex 120
add vertex 121
add vertex 122
add vertex 123
add vertex 124
add vertex 125
add vertex 126
add vertex 127
add vertex 128
add vertex 129
add vertex 130
add vertex 131
add vertex 132
add vertex 133
add vertex 134
add vertex 135
add vertex 136
add vertex 137
add vertex 138
add vertex 139
add vertex 140
add vertex 141
add vertex 142
add vertex 143
add vertex 144
add vertex 145
add vertex 146
add vertex 147
add vertex 148
add vertex 149
add vertex 150
add vertex 151
add vertex 152
add vertex 153
add vertex 154
add vertex 155
add vertex 156
add vertex 157
add vertex 158
add vertex 159
add vertex 160
add vertex 161
add vertex 162
add vertex 163
add vertex 164
add vertex 165
add vertex 166
add vertex 167
add vertex 168
add vertex 169
add vertex 170
add vertex 171
add vertex 172
add vertex 173
add vertex 174
add vertex 175
add vertex 176
add vertex 177
add vertex 178
add vertex 179
add vertex 180
add vertex 181
add vertex 182
add vertex 183
add vertex 184
add vertex 185
add vertex 186
add vertex 187
add vertex 188
add vertex 189
add vertex 190
add vertex 191
add vertex 192
add vertex 193
add vertex 194
add vertex 195
add vertex 196
add vertex 197
add vertex 198
add vertex 199
add vertex 200
add vertex 201
add vertex 202
add vertex 203
add vertex 204
add vertex 205
add vertex 206
add vertex 207
add vertex 208
add vertex 209
add vertex 210
add vertex 211
add vertex 212
add vertex 213
add vertex 214
add vertex 215
add vertex 216
add vertex 217
add vertex 218
add vertex 219
add vertex 220
add vertex 221
add vertex 222
add vertex 223
add vertex 224
add vertex 225
add vertex 226
add vertex 227
add vertex 228
add vertex 229
add vertex 230
add vertex 231
add vertex 232
add vertex 233
add vertex 234
add vertex 235
add vertex 236
add vertex 237
add vertex 238
add vertex 239
add vertex 240
add vertex 241
add vertex 242
add vertex 243
add vertex 244
add vertex 245
add vertex 246
add vertex 247
add vertex 248
add vertex 249
add vertex 250
add vertex 251
add vertex 252
add vertex 253
